system:index,average_surface_temp,date,satellite,.geo
1_1_1_2_LT05_018031_19870521,281.80033105999996,1987-05-21,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19870606,240.57802969864943,1987-06-06,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19870708,294.8298233,1987-07-08,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19870724,297.80691872,1987-07-24,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19870825,251.84480378,1987-08-25,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19870910,294.06760484,1987-09-10,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19870926,273.6722795,1987-09-26,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19871113,281.20217756,1987-11-13,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19880116,271.43005838,1988-01-16,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19880217,270.8865932,1988-02-17,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19880320,272.37684992,1988-03-20,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19880405,268.5623396,1988-04-05,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19880421,276.23237647999997,1988-04-21,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19880507,279.37011884000003,1988-05-07,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19880523,199.48473656282633,1988-05-23,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19880608,280.38185276,1988-06-08,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19880624,290.34879908,1988-06-24,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
